Код;Символ/Строка
570;100001
571;1\n
572;\n\nИ
573;ИНФ
574;ФО
575;ОР
576;РМ
577;МА
578;АЦ
579;ЦИ
580;ИЯ
581;Я 
582; О
583;О 
584; С
585;СЛО
586;ОВА
587;АРЕ
588;Е L
589;LZW:
590;:\n-
591;-----------
592;------------
593;-------------
594;--------------
595;----\n
596;\nН
597;На
598;ач
599;ча
600;ал
601;ль
602;ьн
603;ны
604;ый
605;й р
606;раз
607;зме
608;ер 
609; сл
610;лов
611;ва
612;ар
613;ря
614;я: 
615; 25
616;5\n
617;\nФ
618;Фи
619;ин
620;нал
621;льн
622;ный
623;й ра
624;азме
625;ер с
626;сл
627;лова
628;аря
629;я: 1
630;126
631;6\n
632;\nД
633;До
634;об
635;ба
636;ав
637;вл
638;ле
639;ено
640;о н
641;нов
642;вы
643;ых
644;х 
645; з
646;за
647;ап
648;пи
649;исе
650;ей
651;й:
652;: 10
653;01\n
